Text(°C),Tint(°C),Qhvac(W),Qsun(W)
0.000000000000000000e+00,2.270000076293945312e+01,2.534000000000000000e+03,2.774369825719209643e+02
0.000000000000000000e+00,2.270000076293945312e+01,1.174000000000000000e+03,4.407848026641900105e+02
0.000000000000000000e+00,2.260000038146972656e+01,2.941000000000000000e+03,6.583859756158111622e+02
0.000000000000000000e+00,2.260000038146972656e+01,1.806000000000000000e+03,9.245411138389973758e+02
1.000000000000000000e+00,2.270000076293945312e+01,3.670000000000000000e+03,1.220572511101093369e+03
1.000000000000000000e+00,2.270000076293945312e+01,4.289000000000000000e+03,1.514930256793932813e+03
1.000000000000000000e+00,2.270000076293945312e+01,3.150000000000000000e+03,1.767719663786366937e+03
1.000000000000000000e+00,2.260000038146972656e+01,3.200000000000000000e+03,1.939214478385412121e+03
1.000000000000000000e+00,2.250000000000000000e+01,4.297000000000000000e+03,2.000000000000000000e+03
1.000000000000000000e+00,2.260000038146972656e+01,2.947000000000000000e+03,1.939214478385412121e+03
1.000000000000000000e+00,2.250000000000000000e+01,2.922000000000000000e+03,1.767719663786366937e+03
1.000000000000000000e+00,2.250000000000000000e+01,3.198000000000000000e+03,1.514930256793932813e+03
1.000000000000000000e+00,2.210000038146972656e+01,2.929000000000000000e+03,1.220572511101093369e+03
1.000000000000000000e+00,2.179999923706054688e+01,1.814000000000000000e+03,9.245411138389973758e+02
1.000000000000000000e+00,2.170000076293945312e+01,1.100000000000000000e+01,6.583859756158111622e+02
2.000000000000000000e+00,2.189999961853027344e+01,3.697000000000000000e+03,4.407848026641900105e+02
2.000000000000000000e+00,2.239999961853027344e+01,1.165000000000000000e+03,2.774369825719209643e+02
1.000000000000000000e+00,2.229999923706054688e+01,1.100000000000000000e+01,1.641699972477975962e+02
1.000000000000000000e+00,2.210000038146972656e+01,1.384000000000000000e+03,9.133030922126044970e+01
1.000000000000000000e+00,2.210000038146972656e+01,1.166000000000000000e+03,1.980338636719211065e-01
1.000000000000000000e+00,2.220000076293945312e+01,5.770000000000000000e+02,5.648934718999406579e-01
0.000000000000000000e+00,2.160000038146972656e+01,1.000000000000000000e+01,9.842841431218460890e-01
0.000000000000000000e+00,2.170000076293945312e+01,1.100000000000000000e+01,5.128717431165212837e-01
0.000000000000000000e+00,2.160000038146972656e+01,1.100000000000000000e+01,4.273528860876542046e-01
0.000000000000000000e+00,2.139999961853027344e+01,1.100000000000000000e+01,8.663648194382739254e-01
0.000000000000000000e+00,2.129999923706054688e+01,1.396000000000000000e+03,7.599179400301578902e-01
0.000000000000000000e+00,2.129999923706054688e+01,1.164000000000000000e+03,1.805561069491528059e-01
0.000000000000000000e+00,2.120000076293945312e+01,1.400000000000000000e+01,1.537879963596178179e-02
0.000000000000000000e+00,2.110000038146972656e+01,1.100000000000000000e+01,7.321874382005157944e-01
0.000000000000000000e+00,2.100000000000000000e+01,2.371000000000000000e+03,7.159340957564911401e-01
0.000000000000000000e+00,2.100000000000000000e+01,2.864000000000000000e+03,1.798701991108720977e-01
0.000000000000000000e+00,2.100000000000000000e+01,1.796000000000000000e+03,7.665231018093271453e-01
0.000000000000000000e+00,2.100000000000000000e+01,3.167000000000000000e+03,0.000000000000000000e+00
0.000000000000000000e+00,2.100000000000000000e+01,2.955000000000000000e+03,3.807808514946665612e-01
