# Text,Tint synthetic,Qhvac,Qsun - step=1800s
0.000000000000000000e+00 2.270000076293945312e+01 2.534000000000000000e+03 2.774369825719209643e+02
0.000000000000000000e+00 2.271169880477629732e+01 1.174000000000000000e+03 4.407848026641900105e+02
0.000000000000000000e+00 2.246085421976819418e+01 2.941000000000000000e+03 6.583859756158111622e+02
0.000000000000000000e+00 2.255900028236230881e+01 1.806000000000000000e+03 9.245411138389973758e+02
1.000000000000000000e+00 2.243473640369488464e+01 3.670000000000000000e+03 1.220572511101093369e+03
1.000000000000000000e+00 2.269274140500562709e+01 4.289000000000000000e+03 1.514930256793932813e+03
1.000000000000000000e+00 2.305978642324573613e+01 3.150000000000000000e+03 1.767719663786366937e+03
1.000000000000000000e+00 2.319370295748971955e+01 3.200000000000000000e+03 1.939214478385412121e+03
1.000000000000000000e+00 2.333218222776558903e+01 4.297000000000000000e+03 2.000000000000000000e+03
1.000000000000000000e+00 2.367643098117375899e+01 2.947000000000000000e+03 1.939214478385412121e+03
1.000000000000000000e+00 2.374793700297373178e+01 2.922000000000000000e+03 1.767719663786366937e+03
1.000000000000000000e+00 2.381193439525156208e+01 3.198000000000000000e+03 1.514930256793932813e+03
1.000000000000000000e+00 2.392650392006970250e+01 2.929000000000000000e+03 1.220572511101093369e+03
1.000000000000000000e+00 2.398478244490609157e+01 1.814000000000000000e+03 9.245411138389973758e+02
1.000000000000000000e+00 2.382612383036804715e+01 1.100000000000000000e+01 6.583859756158111622e+02
2.000000000000000000e+00 2.332644410485044162e+01 3.697000000000000000e+03 4.407848026641900105e+02
2.000000000000000000e+00 2.357363313974190788e+01 1.165000000000000000e+03 2.774369825719209643e+02
1.000000000000000000e+00 2.332389477030901404e+01 1.100000000000000000e+01 1.641699972477975962e+02
1.000000000000000000e+00 2.284201264104568097e+01 1.384000000000000000e+03 9.133030922126044970e+01
1.000000000000000000e+00 2.264207447430568010e+01 1.166000000000000000e+03 6.379815757233829876e-01
1.000000000000000000e+00 2.240723349770884454e+01 5.770000000000000000e+02 2.114981822712181936e-01
0.000000000000000000e+00 2.206747546221743761e+01 1.000000000000000000e+01 1.509304765468992837e-01
0.000000000000000000e+00 2.161178256085104010e+01 1.100000000000000000e+01 7.356919434162046967e-01
0.000000000000000000e+00 2.117306170405591814e+01 1.100000000000000000e+01 9.129753227154219219e-01
0.000000000000000000e+00 2.075045466749931222e+01 1.100000000000000000e+01 8.111871813154636346e-02
0.000000000000000000e+00 2.034332880201525029e+01 1.396000000000000000e+03 1.886265836168571353e-01
0.000000000000000000e+00 2.021743312959285888e+01 1.164000000000000000e+03 2.036821905389530896e-01
0.000000000000000000e+00 2.005098628160118679e+01 1.400000000000000000e+01 5.050334762794146393e-01
0.000000000000000000e+00 1.966899803855242368e+01 1.100000000000000000e+01 7.096568664766931267e-01
